"id","nume","pret","data","magazin","link","categorie","subcategorie","descriere"
"P-1793898","Revlon Color Silk vopsea de par 50 Light Ash Brown",20.79,2021-10-09,"cora","https://www.cora.ro/revlon-color-silk-vopsea-de-par-50-light-ash-brown-P-1793898","Casa si familie","Frumusete si ingrijire","Vopsea permanenta pentru par, fara amoniac, ce ofera o culoare si stralucide de lunga durata si o combinatie de coloranti special alesi, balsamuri si polimeri, care confera parului culoare multi-tonala, definire si volum.. UM: buc. InStoc: AVAILABLE"
"P-1917756","Oti perie unghii+piatra ponce",3.92,2021-10-09,"cora","https://www.cora.ro/oti-perie-unghii-piatra-ponce-P-1917756","Casa si familie","Frumusete si ingrijire","Oti perie unghii+piatra ponce. UM: buc. InStoc: AVAILABLE"
"P-2021478","Sesu benzi depilatoare 20buc",14.19,2021-10-09,"cora","https://www.cora.ro/sesu-benzi-depilatoare-20buc-P-2021478","Casa si familie","Frumusete si ingrijire","Benzi cu ceara depilatoare. UM: buc. InStoc: AVAILABLE"
"P-2106312","Mennen Speed Stick Avalanche deodorant spray 150 ml",11.29,2021-10-09,"cora","https://www.cora.ro/mennen-speed-stick-avalanche-deodorant-spray-150-ml-P-2106312","Casa si familie","Frumusete si ingrijire","Deodorant cu parfum insiprat de puterea naturii, ce ofera protectie eficienta impotriva mirosului neplacut pentru intreaga zi.. UM: buc. InStoc: AVAILABLE"
"P-2186297","Farmec Ultrarezistent 002 lac de unghii 11 ml",8.8,2021-10-09,"cora","https://www.cora.ro/farmec-ultrarezistent-002-lac-de-unghii-11-ml-P-2186297","Casa si familie","Frumusete si ingrijire","In nuante intense sau pale, sidefate sau mate, lacurile Farmec rezista pe unghii timp indelungat, conferindu-le luciu si stralucire. Lacurile Ultrarezistent au o pensula lata care faciliteaza aplicarea lacului pe unghii.. UM: buc. InStoc: AVAILABLE"
"P-2215802","Rezerve periuta de dinti Silver Care Medium 2buc",14.99,2021-10-09,"cora","https://www.cora.ro/rezerve-periuta-de-dinti-silver-care-medium-2buc-P-2215802","Casa si familie","Frumusete si ingrijire","Rezerve medii pentru periuta de dinti Silver Care.. UM: buc. InStoc: AVAILABLE"
"P-2244051","Farmec Ultrarezistent 312 lac de unghii 11 ml",8.8,2021-10-09,"cora","https://www.cora.ro/farmec-ultrarezistent-312-lac-de-unghii-11-ml-P-2244051","Casa si familie","Frumusete si ingrijire","In nuante intense sau pale, sidefate sau mate, lacurile Farmec rezista pe unghii timp indelungat, conferindu-le luciu si stralucire. Lacurile Ultrarezistent au o pensula lata care faciliteaza aplicarea lacului pe unghii.. UM: buc. InStoc: AVAILABLE"
"P-2244058","Farmec Ultrarezistent 351 lac de unghii 11 ml",8.8,2021-10-09,"cora","https://www.cora.ro/farmec-ultrarezistent-351-lac-de-unghii-11-ml-P-2244058","Casa si familie","Frumusete si ingrijire","In nuante intense sau pale, sidefate sau mate, lacurile Farmec rezista pe unghii timp indelungat, conferindu-le luciu si stralucire. Lacurile Ultrarezistent au o pensula lata care faciliteaza aplicarea lacului pe unghii.. UM: buc. InStoc: AVAILABLE"
"P-2251239","Dove Rollon Invisible Dry 50 ml",16.69,2021-10-09,"cora","https://www.cora.ro/dove-rollon-invisible-dry-50-ml-P-2251239","Casa si familie","Frumusete si ingrijire","Evita urmele albe de deodorant cu antiperspirantul roll-on Dove Invisible Dry, testat pe 100 de culori.. UM: buc. InStoc: AVAILABLE"
"P-2294415","Nivea Diamond Touch gel de dus 250 ml",13.59,2021-10-09,"cora","https://www.cora.ro/nivea-diamond-touch-gel-de-dus-250-ml-P-2294415","Casa si familie","Frumusete si ingrijire","Lasa gelul de dus crema cu stralucire de diamant sa iti rasfete pielea cu spuma sa delicata, in timp ce parfumul de cala iti inunda simturile.. UM: buc. InStoc: AVAILABLE"
"P-2300548","Balsamul Schwarzkopf Schauma Q10 200 ml Formula vegana cu Complex de micronutrienti",9.65,2021-10-09,"cora","https://www.cora.ro/balsamul-schwarzkopf-schauma-q10-200-ml-formula-vegana-cu-complex-de-micronutrienti-P-2300548","Casa si familie","Frumusete si ingrijire","Ai parul subtiat si lipsit de putere? Pentru fortificarea si improspatarea parului, balsamul Schauma Q10 iti ofera volum amplu si fortificare.. UM: buc. InStoc: AVAILABLE"
"P-2303898","Doctor Soleil Gel relaxant pentru picioare 100ml",7.79,2021-10-09,"cora","https://www.cora.ro/doctor-soleil-gel-relaxant-pentru-picioare-100ml-P-2303898","Casa si familie","Frumusete si ingrijire","Gel relaxant pentru picioarele obosite,  formula naturala si activa, cu extracte naturale de arnica, menta, rozmarin si lavanda. Stimuleaza circulatia sanguina de la nivelul picioarelor, reduce edemele, are efect tonic, relaxant, racoritor.. UM: buc. InStoc: AVAILABLE"
"P-2324405","Crema lift regeneranta de noapte Gerovital H3 Evolution 50ml",35.99,2021-10-09,"cora","https://www.cora.ro/crema-lift-regeneranta-de-noapte-gerovital-h3-evolution-50ml-P-2324405","Casa si familie","Frumusete si ingrijire","Crema contribuie la reintinerirea pielii prin reducerea liniilor fine si a ridurilor. Produs recomandat persoanelor cu varsta de peste 30 de ani.. UM: buc. InStoc: AVAILABLE"
"P-2325993","Bella Aroma Absorbante Zilnice Fresh 60buc",10.37,2021-10-09,"cora","https://www.cora.ro/bella-aroma-absorbante-zilnice-fresh-60buc-P-2325993","Casa si familie","Frumusete si ingrijire","Absorbante zilnice parfumate, foarte subtiri, cu suprafata naturala delicata cu pielea.. UM: buc. InStoc: AVAILABLE"
"P-2328147","Perie pneumatica pentru par Boreal",38.29,2021-10-09,"cora","https://www.cora.ro/perie-pneumatica-pentru-par-boreal-P-2328147","Casa si familie","Frumusete si ingrijire","Perie de par profesionala, in forma ovala cu peri din fibra. Rezistenta la temperaturi ridicate.. UM: buc. InStoc: AVAILABLE"
"P-2346283","Elastic de par Mod'elle L2 6buc",2.79,2021-10-09,"cora","https://www.cora.ro/elastic-de-par-mod-elle-l2-6buc-P-2346283","Casa si familie","Frumusete si ingrijire","Elastic din material textil.. UM: buc. InStoc: AVAILABLE"
"P-2366219","Rezerva sapun lichid antibacterian On Line 500ml",8.89,2021-10-09,"cora","https://www.cora.ro/rezerva-sapun-lichid-antibacterian-on-line-500ml-P-2366219","Casa si familie","Frumusete si ingrijire","Sapun lichid cu agent natural antibacterian indeparteaza eficient bacteriile. Formula delicata contine componente hidratante si este testata dermatologic... UM: buc. InStoc: AVAILABLE"
"P-2366898","VEET Benzi Depilatoare bikini si axila 16 buc",24.89,2021-10-09,"cora","https://www.cora.ro/veet-benzi-depilatoare-bikini-si-axila-16-buc-P-2366898","Casa si familie","Frumusete si ingrijire","Uitati de constrangeri si simtiti-va in largul dvs. in orice tinuta!Folosind benzile depilatoare pentru axila si linia bikinilor de la Veet puteti obtine o piele catifelata ce dureaza pana la 4 saptamani.. UM: buc. InStoc: AVAILABLE"
"P-2368027","Lac de unghii Miss Sporty Disco Tech 7ml",7.33,2021-10-09,"cora","https://www.cora.ro/lac-de-unghii-miss-sporty-disco-tech-7ml-P-2368027","Casa si familie","Frumusete si ingrijire","Lacul de unghii Disco Tech se aplica pe unghie sau peste lacul de unghii si confera un efect fosforescent in lumina UV.. UM: buc. InStoc: AVAILABLE"
"P-2395589","Perie pentru par din lemn Le Naturelle",27.79,2021-10-09,"cora","https://www.cora.ro/perie-pentru-par-din-lemn-le-naturelle-P-2395589","Casa si familie","Frumusete si ingrijire","Perie de par pneumatica ovala antistatica din lemn pentru voiaj cu peri din lemn.. UM: buc. InStoc: AVAILABLE"
"P-2401377","cora Green rezerva sapun lichid copii pepene galben 500 ml",8.39,2021-10-09,"cora","https://www.cora.ro/cora-green-rezerva-sapun-lichid-copii-pepene-galben-500-ml-P-2401377","Casa si familie","Frumusete si ingrijire","Sapunul lichid pentru copii imbogatit cu glicerina si cu miros de pepene galben confera pielii un efect intens de hidratare si catifelare.. UM: buc. InStoc: AVAILABLE"
